,"sentence","word","label"
0,0,"lowenergy","O"
1,0,"truly","O"
2,0,"random","O"
3,0,"number","O"
4,0,"generation","O"
5,0,"superparamagnetic","I-PROP"
6,0,"tunnel","B-STRUCT"
7,0,"junctions","I-STRUCT"
8,0,"unconventional","O"
9,0,"computing","O"
10,1,"abstract","O"
11,1,"energy","O"
12,1,"efficiency","O"
13,1,"compared","O"
14,1,"current","O"
15,1,"solutions","O"
16,2,"show","O"
17,2,"random","O"
18,2,"generation","O"
19,2,"speed","O"
20,2,"improves","O"
21,2,"nanodevice","I-STRUCT"
22,2,"scaling","O"
23,2,"investigate","O"
24,2,"impact","O"
25,2,"temperature","O"
26,2,"magnetic","O"
27,2,"field","O"
28,2,"crosstalk","O"
29,3,"finally","O"
30,3,"show","O"
31,3,"alternative","O"
32,3,"computing","O"
33,3,"schemes","O"
34,3,"implemented","O"
35,3,"using","O"
36,3,"superparamagentic","I-PROP"
37,3,"tunnel","B-STRUCT"
38,3,"junctions","I-STRUCT"
39,3,"random","O"
40,3,"number","O"
41,3,"generators","O"
42,4,"results","O"
43,4,"open","O"
44,5,"theoretical","O"
45,5,"investigation","O"
46,5,"excitonic","O"
47,5,"magnetism","O"
48,5,"lasrcoo","I-MAT"
49,5,4,"O"
50,6,"abstract","O"
51,7,"find","O"
52,7,"staggered","O"
53,7,"arrangement","O"
54,7,"magnetic","O"
55,7,"multipoles","O"
56,7,"stable","O"
57,7,"broad","O"
58,7,"range","O"
59,7,"co","I-MAT"
60,7,"3d","O"
61,7,"interaction","O"
62,7,"parameters","O"
63,8,"ordered","O"
64,8,"state","O"
65,8,"described","O"
66,8,"spindenitywavetype","O"
67,8,"condensate","O"
68,8,"xy","O"
69,8,"x","O"
70,8,2,"O"
71,8,2,"O"
72,8,"excitons","O"
73,8,"carrying","O"
74,8,"spin","O"
75,8,"s1","O"
76,9,"construct","O"
77,9,"effective","O"
78,9,"strongcoupling","O"
79,9,"model","O"
80,9,"calculate","O"
81,9,"exciton","O"
82,9,"dispersion","O"
83,9,"inves","O"
84,10,"alma","O"
85,10,"vla","O"
86,10,"observations","O"
87,10,"emission","O"
88,10,"environment","O"
89,10,"sgr","O"
90,11,"abstract","O"
91,11,"mg","I-MAT"
92,11,"magnetic","O"
93,11,"field","O"
94,12,"origin","O"
95,12,"unclear","O"
96,12,"coexistence","O"
97,12,"hot","O"
98,12,"gas","O"
99,12,"supports","O"
100,12,"scenarios","O"
101,12,"gas","O"
102,12,"produced","O"
103,12,"interaction","O"
104,12,"winds","O"
105,12,"either","O"
106,12,"fast","O"
107,12,"moving","O"
108,12,"sstars","O"
109,12,"photoevaporation","O"
110,12,"lowmass","O"
111,12,"yso","O"
112,12,"disks","O"
113,12,"jetdriven","O"
114,12,"outflow","O"
115,12,"sgr","O"
116,13,"spatial","O"
117,13,"anticorrelation","O"
118,13,"xray","O"
119,13,"radio","O"
120,13,"mm","O"
121,13,"emission","O"
122,13,"halo","O"
123,14,"trions","O"
124,14,"mos","O"
125,14,2,"O"
126,14,"quantum","O"
127,14,"superpositions","O"
128,14,"intra","O"
129,14,"intervalley","O"
130,14,"spin","O"
131,14,"states","O"
132,15,"abstract","O"
133,15,"monolayers","I-STRUCT"
134,15,"high","O"
135,15,"magnetic","O"
136,15,"fields","O"
137,15,28,"O"
138,15,"b","O"
139,15,"0t","O"
140,15,"electron","O"
141,15,"density","O"
142,15,"nssim","O"
143,15,"1012cm2","O"
144,15,"observe","O"
145,15,"three","O"
146,15,"trion","O"
147,15,"resonances","O"
148,15,"explained","O"
149,15,"within","O"
150,15,"singleparticle","O"
151,15,"picture","O"
152,16,"employing","O"
153,16,"ab","O"
154,16,"initio","O"
155,16,"calculations","O"
156,16,"take","O"
157,16,"account","O"
158,16,"threeparticle","O"
159,16,"correlation","O"
160,16,"effects","O"
161,16,"well","O"
162,16,"local","O"
163,16,"nonlocal","O"
164,16,"electronhole","O"
165,16,"exchange","O"
166,16,"interaction","O"
167,16,"identi","O"
168,17,"angleresolved","O"
169,17,"optically","O"
170,17,"detected","O"
171,17,"magnetic","O"
172,17,"resonance","O"
173,17,"tool","O"
174,17,"strain","O"
175,17,"determination","O"
176,17,"nanostructures","O"
177,18,"abstract","O"
178,18,"paper","O"
